  260 1936  sep    16    11.8    96.0     4.7    -3.3     3.3   930.9     2.8
  261 1936  sep    17    13.4    91.1     3.5    -2.5     2.5   930.5      .0
  262 1936  sep    18    15.9    86.8     4.0    -2.8    -2.8   930.1      .2
  263 1936  sep    19    17.3    81.8     6.0     2.3    -5.5   925.2     2.9
  264 1936  sep    20    16.2    81.4     4.8     3.4    -3.4   920.5    30.6
  265 1936  sep    21    15.0    71.8     1.7     1.7      .0   923.3      .0
  266 1936  sep    22    19.3    69.1     3.3      .0    -3.3   922.9     9.9
  267 1936  sep    23    15.0    96.3     3.8      .0     3.8   925.7    32.9
  268 1936  sep    24    11.3    89.7     4.4    -1.7     4.1   930.5      .1
  269 1936  sep    25    13.6    88.3     3.0    -3.0      .0   929.2      .0
  270 1936  sep    26    15.4    90.3     2.9    -2.7    -1.1   928.6      .0
  271 1936  sep    27    16.0    81.7     3.7    -3.4     1.4   929.5      .0
  272 1936  sep    28    17.0    84.1     3.0    -2.1     2.1   928.7      .0
  273 1936  sep    29    19.7    74.0     3.0    -2.1    -2.1   927.0      .0
  274 1936  sep    30    19.9    75.2     2.8    -1.1    -2.6   926.1      .0
  275 1936  oct     1    23.0    68.9     1.8     1.7     -.7   924.0      .0
  276 1936  oct     2    22.3    78.7     1.8    -1.3     1.3   923.1      .0
  277 1936  oct     3    25.5    63.5     2.9    -2.7    -1.1   922.5      .0
  278 1936  oct     4    22.9    77.5     3.1    -2.8    -1.2   923.5      .0
  279 1936  oct     5    20.0    87.5     2.6    -1.8     1.8   925.2      .1
  280 1936  oct     6    19.0    85.3     2.7      .0     2.7   927.1      .0
  281 1936  oct     7    17.9    88.8     2.4    -1.7     1.7   924.0      .0
  282 1936  oct     8    21.1    82.2     4.1    -2.9     2.9   922.2      .0
  283 1936  oct     9    17.3    93.0     3.9    -1.5     3.6   925.2      .9
  284 1936  oct    10    14.5    95.5     3.6    -1.4     3.4   928.0    14.1
  285 1936  oct    11    14.1    97.4     4.4    -3.1     3.1   928.5    22.9
  286 1936  oct    12    14.4    91.2     6.0    -4.3     4.3   929.3      .2
  287 1936  oct    13    15.4    84.8     5.2    -4.8     2.0   930.0      .0
  288 1936  oct    14    16.4    87.0     3.4    -2.4     2.4   929.5      .0
  289 1936  oct    15    17.8    88.7     2.8    -2.0     2.0   928.5      .0
  290 1936  oct    16    18.3    89.0     3.8    -2.7     2.7   928.0      .0
  291 1936  oct    17    19.2    84.6     3.4    -2.4    -2.4   925.7    20.8
  292 1936  oct    18    18.7    89.9     2.3    -2.2     -.9   924.8    18.2
  293 1936  oct    19    20.8    80.4     2.6    -1.9    -1.9   924.7      .3
  294 1936  oct    20    22.5    72.5     3.4     3.1    -1.3   922.4     4.0
  295 1936  oct    21    16.0    92.5     3.8    -1.5     3.5   922.4     5.9
  296 1936  oct    22    11.4    92.2     4.9    -1.9     4.6   925.0      .8
  297 1936  oct    23    11.8    82.0     3.1    -2.2     2.2   926.7      .1
  298 1936  oct    24    14.1    80.5     2.6    -1.8     1.8   925.9      .1
  299 1936  oct    25    17.2    72.0     2.4     2.2     -.9   923.7      .0
  300 1936  oct    26    15.5    86.2     3.3    -2.4     2.4   923.3      .0
  301 1936  oct    27    14.1    82.9     4.1    -2.9     2.9   925.6      .5
  302 1936  oct    28    14.4    88.0     3.6    -2.5     2.5   925.3      .0
  303 1936  oct    29    15.2    85.5     4.2    -4.2      .0   924.3      .0
