"latitude","longitude","cep","casosAcumulados","casosRecuperados","casosRecuperados.1","casosAtivos","casosAtivos.1","ultimaNotificacao","ultimaNotificacao.1"
-22.8850738,-43.4761242,21830005,9,9,9,0,0,"01/07/2020","01/07/2020"
-22.905999,-43.2673635,20950340,9,8,8,0,0,"30/06/2020","30/06/2020"
-22.9898654,-43.4917614,22783210,9,8,8,0,0,"04/07/2020","04/07/2020"
-22.8723238,-43.3430442,21351021,9,9,9,0,0,"03/07/2020","03/07/2020"
-22.8935518,-43.2895405,20770006,9,9,9,0,0,"18/06/2020","18/06/2020"
-22.870956,-43.3343442,21360230,9,9,9,0,0,"16/06/2020","16/06/2020"
-22.8711747,-43.2859189,20765040,9,7,7,0,0,"06/07/2020","06/07/2020"
-22.9379061,-43.6787669,23520350,9,8,8,0,0,"09/07/2020","09/07/2020"
-22.8910086,-43.4736587,21825070,9,8,8,0,0,"24/06/2020","24/06/2020"
-22.8678623,-43.3316158,21360290,9,7,7,0,0,"25/06/2020","25/06/2020"
-23.020995,-43.4682761,22795465,9,8,8,0,0,"05/07/2020","05/07/2020"
-22.8309154,-43.323175,21231020,9,8,8,1,1,"15/07/2020","15/07/2020"
-23.0189522,-43.4567724,22795306,9,8,8,0,0,"22/06/2020","22/06/2020"
-22.8014945,-43.2067042,21931576,9,6,6,1,1,"26/07/2020","26/07/2020"
-22.8540264,-43.3235809,21361210,9,8,8,1,1,"21/07/2020","21/07/2020"
-22.9483918,-43.3627831,22773330,9,8,8,0,0,"20/07/2020","20/07/2020"
-22.844593,-43.2464444,21030040,9,8,8,0,0,"29/06/2020","29/06/2020"
-22.8762182,-43.4756145,21830380,9,9,9,0,0,"15/06/2020","15/06/2020"
-22.9336509,-43.5676962,23045805,9,8,8,0,0,"28/05/2020","28/05/2020"
-22.8762743,-43.345335,21310010,9,8,8,0,0,"02/07/2020","02/07/2020"
-22.8426169,-43.2862929,21070140,9,6,6,0,0,"08/07/2020","08/07/2020"
-22.8274854,-43.3163342,21230351,9,7,7,1,1,"20/07/2020","20/07/2020"
-22.8216004,-43.2317526,21941395,9,5,5,4,4,"21/07/2020","21/07/2020"
-22.892443,-43.6032608,23060210,9,8,8,0,0,"07/07/2020","07/07/2020"
-22.8534217,-43.3010907,21221080,9,9,9,0,0,"02/06/2020","02/06/2020"
-22.9061701,-43.6513661,23585814,9,9,9,0,0,"15/07/2020","15/07/2020"
